run_id,ts,side,symbol,res,qty,price,fee_bps,slippage_bps
20250913-072755-8d0ad7,2024-09-07 17:30:00,SELL,BTCUSDT,5m,0.16569711563336595,54338.505900000004,5.0,4
20250913-072755-8d0ad7,2024-09-08 01:00:00,BUY,BTCUSDT,5m,0.16589115484775085,54220.66959599999,5.0,4
20250913-072755-8d0ad7,2024-09-08 07:00:00,SELL,BTCUSDT,5m,0.16589115484775085,54275.281200000005,5.0,4
20250913-072755-8d0ad7,2024-09-08 08:30:00,BUY,BTCUSDT,5m,0.1652887995454695,54418.628748,5.0,4
20250913-072755-8d0ad7,2024-09-08 12:55:00,SELL,BTCUSDT,5m,0.1652887995454695,54173.02212,5.0,4
20250913-072755-8d0ad7,2024-09-08 18:00:00,BUY,BTCUSDT,5m,0.16440375965167162,54410.065323999996,5.0,4
20250913-072755-8d0ad7,2024-09-09 05:05:00,SELL,BTCUSDT,5m,0.16440375965167162,54720.113196000006,5.0,4
20250913-072755-8d0ad7,2024-09-09 08:15:00,BUY,BTCUSDT,5m,0.16279994478082657,55204.082804,5.0,4
20250913-072755-8d0ad7,2024-09-09 12:35:00,SELL,BTCUSDT,5m,0.16279994478082657,55135.756872000005,5.0,4
20250913-072755-8d0ad7,2024-09-09 13:50:00,BUY,BTCUSDT,5m,0.16108131944554405,55668.2584,5.0,4
20250913-072755-8d0ad7,2024-09-09 15:15:00,SELL,BTCUSDT,5m,0.16108131944554405,55055.9688,5.0,4
20250913-072755-8d0ad7,2024-09-09 16:25:00,BUY,BTCUSDT,5m,0.15788647941174716,56113.546444,5.0,4
20250913-072755-8d0ad7,2024-09-10 00:15:00,SELL,BTCUSDT,5m,0.15788647941174716,56778.2796,5.0,4
20250913-072755-8d0ad7,2024-09-10 06:05:00,BUY,BTCUSDT,5m,0.1575058596434229,56858.90446799999,5.0,4
20250913-072755-8d0ad7,2024-09-10 13:45:00,SELL,BTCUSDT,5m,0.1575058596434229,56763.2856,5.0,4
20250913-072755-8d0ad7,2024-09-10 17:45:00,BUY,BTCUSDT,5m,0.15610096525824396,57216.82758,5.0,4
20250913-072755-8d0ad7,2024-09-10 22:30:00,SELL,BTCUSDT,5m,0.15610096525824396,57465.0048,5.0,4
20250913-072755-8d0ad7,2024-09-11 07:55:00,BUY,BTCUSDT,5m,0.15795261359209262,56734.684799999995,5.0,4
20250913-072755-8d0ad7,2024-09-11 14:00:00,SELL,BTCUSDT,5m,0.15795261359209262,55911.486456000006,5.0,4
20250913-072755-8d0ad7,2024-09-11 16:30:00,BUY,BTCUSDT,5m,0.15518109203553448,56852.731999999996,5.0,4
20250913-072755-8d0ad7,2024-09-11 21:20:00,SELL,BTCUSDT,5m,0.15518109203553448,57363.055596000006,5.0,4
20250913-072755-8d0ad7,2024-09-12 00:35:00,BUY,BTCUSDT,5m,0.15372934048688316,57847.119596,5.0,4
20250913-072755-8d0ad7,2024-09-12 06:20:00,SELL,BTCUSDT,5m,0.15372934048688316,57898.821204,5.0,4
20250913-072755-8d0ad7,2024-09-12 08:45:00,BUY,BTCUSDT,5m,0.1524317528191481,58333.324,5.0,4
20250913-072755-8d0ad7,2024-09-12 10:50:00,SELL,BTCUSDT,5m,0.1524317528191481,57927.809604,5.0,4
20250913-072755-8d0ad7,2024-09-12 17:20:00,BUY,BTCUSDT,5m,0.15131389977400242,58297.199556,5.0,4
20250913-072755-8d0ad7,2024-09-12 21:30:00,SELL,BTCUSDT,5m,0.15131389977400242,58006.797996,5.0,4
20250913-072755-8d0ad7,2024-09-13 00:20:00,BUY,BTCUSDT,5m,0.15089339662827342,58110.13476,5.0,4
20250913-072755-8d0ad7,2024-09-13 00:25:00,SELL,BTCUSDT,5m,0.15089339662827342,58062.77559600001,5.0,4
20250913-072755-8d0ad7,2024-09-13 00:45:00,BUY,BTCUSDT,5m,0.150375748457855,58204.362435999996,5.0,4
20250913-072755-8d0ad7,2024-09-13 01:25:00,SELL,BTCUSDT,5m,0.150375748457855,57955.218636000005,5.0,4
