end,fee_bps,mdd,pnl,res,run_id,run_ts,sharpe,slip_bps,start,strategy,symbol,trades
2025-08-31,5.0,-0.8068989012347128,-0.806761112297167,5m,20250913-060917-9ef177,2025-09-13T06:09:17,-4.8980443339590956,4,2024-08-31,sma_cross,BTCUSDT,1053
2025-08-31,5.0,-0.8068989012347128,-0.806761112297167,5m,20250913-072755-8d0ad7,2025-09-13T07:27:55,-4.8980443339590956,4,2024-08-31,sma_cross,BTCUSDT,1053
2025-08-31,5.0,-0.8068989012347128,-0.806761112297167,5m,20250914-000335-abd720,2025-09-14T00:03:35,-4.8980443339590956,4,2024-08-31,sma_cross,BTCUSDT,1053
